ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
UNKNOWN		UNKNOWN	20605614	20451354	1296050	335.25	19854210	570697	32282	16065	12818	10892	9725	8864	7781	6602	5669	4876	4497	4288	3900	3744	3680	1623229	1400385	1156212	898724	707235	455686	316029	205487	134131	88949	
UNKNOWN		UNKNOWN	46916079	46445951	3407568	606.14	45474997	1040315	67802	39054	28367	21360	15739	12164	7885	5419	4228	3836	4537	6343	11095	29408	143530	3631584	3187528	2623442	2057168	1513700	1212331	688146	440534	270994	184897	
UNKNOWN		UNKNOWN	68598823	68127659	7948025	113.137	66979381	1358259	87936	48004	29635	17503	13337	25164	21476	3900	2692	1791	1383	1087	997	796	791	4955021	4355037	3608269	2872471	2232673	1608160	1139998	781205	526906	358579	
UNKNOWN		UNKNOWN	26888654	26785970	5324863	175.021	26012046	745878	38589	17105	12374	9016	7626	5757	4602	3199	2285	1624	1260	1075	1072	1259	1399	1804748	1486848	1144833	834049	610577	361927	247527	155750	96338	59611	
UNKNOWN		UNKNOWN	46093071	45690314	10060941	159.57	44515545	1341910	69146	32571	24059	18000	15161	11872	8791	6795	4485	3012	2299	1903	1656	1514	1755	3349306	2817952	2230543	1672109	1238746	759427	518428	324342	195404	118565	
UNKNOWN		UNKNOWN	19922992	19830972	3832111	235.233	19226115	573504	29986	13501	10123	8176	6740	5609	4436	3426	2466	1988	1759	1595	1618	1584	1989	1405324	1163195	911677	676502	503485	310428	210982	132115	82424	51578	
UNKNOWN		UNKNOWN	42785767	42606839	10067173	141.652	41403774	1199820	61566	27504	20153	15227	12394	9136	7022	5028	3357	2156	1531	1097	986	972	922	2938703	2429500	1885079	1389181	1028364	616192	425722	268105	166612	106138	
UNKNOWN		UNKNOWN	46668706	46288702	2426483	559.168	45251047	1029520	68012	40557	30158	22161	16382	18178	14483	12357	11097	10949	11386	12961	16267	26822	76369	3457643	3064299	2554905	2036302	1558434	1169240	743997	468539	289356	198959	
UNKNOWN		UNKNOWN	28752354	28587199	677874	242.638	27766473	827663	43354	19612	14710	11454	9787	8150	6631	5193	4021	3097	2375	2128	1938	1804	1687	2148439	1746276	1336544	963916	680815	422876	275886	172239	105768	65872	
UNKNOWN		UNKNOWN	16566575	16465901	2913928	230.498	15984285	489100	24469	10784	7772	6272	5210	4053	3349	2747	2156	1646	1422	1306	1160	1118	1186	1178312	957774	742895	542446	385354	246735	160391	99948	61092	38339	
